iter	MultiClass
0	1.066645332
1	1.031948314
2	1.000376105
3	0.9739741198
4	0.9449859093
5	0.9197948618
6	0.8943945468
7	0.8690122342
8	0.8448003758
9	0.8230617408
10	0.8041457909
11	0.7827348484
12	0.7687514424
13	0.7522865373
14	0.7365579583
15	0.7209954375
16	0.7067266922
17	0.6940010832
18	0.6789630796
19	0.664468172
20	0.650815645
21	0.6391082228
22	0.6265976781
23	0.6167753635
24	0.609227005
25	0.5988876296
26	0.5887716824
27	0.5794439238
28	0.5712303021
29	0.563945256
30	0.5558917353
31	0.5473170136
32	0.5408042757
33	0.5327805827
34	0.5258260081
35	0.5193950578
36	0.5131047613
37	0.5065394273
38	0.5023225237
39	0.4962347227
40	0.4899928992
41	0.4837309638
42	0.4783815201
43	0.4741470284
44	0.4695786888
45	0.4653717829
46	0.4595756461
47	0.4553512457
48	0.4510451582
49	0.4465399305
50	0.4419636828
51	0.4376183879
52	0.4334120213
53	0.4291758396
54	0.4259178344
55	0.4223555205
56	0.418394151
57	0.4149486116
58	0.4114946413
59	0.4079613233
60	0.4041688707
61	0.4014268581
62	0.3985276369
63	0.3954009556
64	0.3926582525
65	0.3896069445
66	0.3869972047
67	0.3842366505
68	0.382057694
69	0.3798412014
70	0.3774483649
71	0.3751373449
72	0.3728458756
73	0.3713860807
74	0.3693594098
75	0.3674603127
76	0.3656938665
77	0.3639721596
78	0.3620515742
79	0.3601853412
80	0.3585690024
81	0.3570227069
82	0.3550274567
83	0.3534579597
84	0.3522426002
85	0.3504473379
86	0.3494397083
87	0.3477688714
88	0.3463581245
89	0.3452007594
90	0.343756568
91	0.3420634848
92	0.3406905167
93	0.3397620436
94	0.3384939845
95	0.3368547444
96	0.3356580052
97	0.3338523151
98	0.3316583771
99	0.3304622068
100	0.3291748264
101	0.3280256156
102	0.326755036
103	0.3257385949
104	0.324892877
105	0.3240940222
106	0.3230856286
107	0.3217940095
108	0.320605516
109	0.3200348366
110	0.3189493517
111	0.3179345557
112	0.3170194896
113	0.3161231307
114	0.3152396696
115	0.3145404371
116	0.3136485179
117	0.3128763487
118	0.3119799907
119	0.3111487792
120	0.3106710358
121	0.3097378219
122	0.3086688319
123	0.3076228082
124	0.3066651053
125	0.3059072862
126	0.3054202481
127	0.3046156776
128	0.30349167
129	0.3028514025
130	0.3022004455
131	0.3013887603
132	0.3000396583
133	0.2995749466
134	0.2985321252
135	0.2980320702
136	0.2973907334
137	0.2965479179
138	0.2961779198
139	0.2953276742
140	0.2944293008
141	0.2935440124
142	0.2928127583
143	0.291942931
144	0.2913994083
145	0.291314729
146	0.2905257808
147	0.289434421
148	0.2882835641
149	0.2878023362
150	0.2871278764
151	0.2865103753
152	0.2860740332
153	0.2854562932
154	0.2846594828
155	0.2840397155
156	0.2834885371
157	0.2830381749
158	0.2823530603
159	0.2818440979
160	0.2810584813
161	0.2802581363
162	0.2797205341
163	0.2789384992
164	0.2783426737
165	0.2779426333
166	0.2774432542
167	0.2769173737
168	0.2763853387
169	0.2756124545
170	0.274831279
171	0.274286384
172	0.2735904874
173	0.2724000851
174	0.2718977397
175	0.2713489099
176	0.2702912256
177	0.2696149051
178	0.2692521017
179	0.268620205
180	0.2675144805
181	0.2668242693
182	0.266629731
183	0.2661355675
184	0.2657787135
185	0.265104393
186	0.2647566871
187	0.2639526948
188	0.263464441
189	0.2633041382
190	0.262243551
191	0.2615363386
192	0.2607907106
193	0.2601107534
194	0.2596907482
195	0.2592635953
196	0.2589661022
197	0.2583471938
198	0.2579626929
199	0.2572897354
200	0.256913249
201	0.2560466228
202	0.2556932697
203	0.2556243394
204	0.2553298881
205	0.2552380829
206	0.2549120743
207	0.2542898693
208	0.2538049236
209	0.2532477645
210	0.2524139062
211	0.2518058785
212	0.2516062789
213	0.2508170007
214	0.2503633963
215	0.2500237078
216	0.2493926924
217	0.24868679
218	0.2480445509
219	0.2476507164
220	0.2470329983
221	0.246434452
222	0.2459826739
223	0.2455988884
224	0.2447249723
225	0.2444497036
226	0.2437919243
227	0.2432582757
228	0.2426394585
229	0.2423339624
230	0.2417992499
231	0.2411905291
232	0.2406559956
233	0.2400100234
234	0.2395640458
235	0.2390559412
236	0.2386366759
237	0.2381221894
238	0.2377543712
239	0.237375456
240	0.2368164708
241	0.2364031746
242	0.2361783918
243	0.2361153596
244	0.235611167
245	0.2354760278
246	0.2349663976
247	0.2345373278
248	0.2340531215
249	0.2334612226
250	0.2331708801
251	0.2329672828
252	0.2327628575
253	0.2325356505
254	0.2320442044
255	0.231724711
256	0.2313077553
257	0.2307821473
258	0.2303317454
259	0.2302610202
260	0.2298729714
261	0.2290858711
262	0.2287613503
263	0.2284643574
264	0.2280149519
265	0.2277251715
266	0.2269922013
267	0.2266967146
268	0.2263861982
269	0.2258931001
270	0.2250615066
271	0.2247079181
272	0.2243175677
273	0.2238568968
274	0.223703192
275	0.2231794397
276	0.2228838913
277	0.2223928186
278	0.2223109021
279	0.2220283331
280	0.2217700202
281	0.2213600062
282	0.2208514232
283	0.2205519845
284	0.2200966908
285	0.2198587546
286	0.2193788946
287	0.2185683889
288	0.2181352947
289	0.2178463252
290	0.2175577863
291	0.2172541256
292	0.2170748584
293	0.216750408
294	0.2159952928
295	0.215485502
296	0.21521323
297	0.2147616524
298	0.2143944194
299	0.2140040721
300	0.2134287449
301	0.2127820912
302	0.2124326482
303	0.2120043522
304	0.2117628499
305	0.2114393856
306	0.2112647838
307	0.2109527189
308	0.2106529897
309	0.2101955945
310	0.2098249144
311	0.2095268083
312	0.2091866777
313	0.2091325929
314	0.2088812735
315	0.2086520109
316	0.2083517602
317	0.2081813719
318	0.2079365869
319	0.2075743066
320	0.2072472555
321	0.2070824681
322	0.2067099567
323	0.2062144196
324	0.2058467631
325	0.2054267672
326	0.2052077689
327	0.2049472437
328	0.2046212651
329	0.2044608717
330	0.2041663615
331	0.2035749424
332	0.2032099585
333	0.2030390193
334	0.2023414437
335	0.2020660628
336	0.2014912542
337	0.2011951416
338	0.2008483063
339	0.2005347874
340	0.2001123295
341	0.199806573
342	0.1994142397
343	0.1989752579
344	0.1986493421
345	0.1983374001
346	0.1979568403
347	0.1977031107
348	0.1974268715
349	0.1969587341
350	0.1964753011
351	0.1961147076
352	0.1955921225
353	0.1952541447
354	0.1948907407
355	0.1948428329
356	0.194503101
357	0.1941932712
358	0.1937350325
359	0.1932403773
360	0.1929166723
361	0.1926759382
362	0.1924537967
363	0.1920640495
364	0.1918920075
365	0.1914321595
366	0.191053032
367	0.1907210859
368	0.1905177787
369	0.1902787739
370	0.1900086031
371	0.1897959163
372	0.189360019
373	0.1891335334
374	0.1888402942
375	0.1885536738
376	0.1884148093
377	0.1880248269
378	0.1878253963
379	0.1875430544
380	0.187252924
381	0.1870149592
382	0.1868893129
383	0.1864957314
384	0.1862527606
385	0.1858481212
