iter	Passed	Remaining
0	55	55295
1	58	29143
2	61	20507
3	64	16118
4	66	13247
5	69	11518
6	72	10275
7	74	9272
8	77	8579
9	81	8025
10	84	7560
11	85	7011
12	88	6700
13	91	6434
14	94	6197
15	97	5981
16	100	5797
17	103	5666
18	107	5535
19	110	5412
20	113	5309
21	119	5318
22	122	5217
23	126	5124
24	129	5041
25	132	4966
26	136	4933
27	140	4866
28	144	4829
29	147	4764
30	149	4660
31	152	4598
32	154	4541
33	158	4494
34	159	4385
35	162	4344
36	165	4319
37	168	4269
38	169	4179
39	172	4147
40	175	4107
41	178	4065
42	180	4025
43	183	3993
44	187	3969
45	190	3946
46	194	3944
47	197	3924
48	201	3914
49	205	3910
50	210	3913
51	216	3951
52	218	3896
53	221	3879
54	224	3860
55	228	3850
56	232	3839
57	235	3817
58	237	3794
59	241	3782
60	244	3764
61	247	3745
62	250	3726
63	253	3711
64	258	3722
65	263	3723
66	265	3701
67	270	3700
68	273	3685
69	276	3668
70	278	3650
71	282	3639
72	285	3627
73	288	3612
74	290	3581
75	293	3571
76	297	3562
77	300	3551
78	303	3536
79	306	3523
80	309	3506
81	312	3498
82	315	3485
83	318	3469
84	320	3453
85	323	3437
86	326	3429
87	329	3414
88	332	3399
89	334	3384
90	337	3369
91	340	3361
92	343	3349
93	345	3334
94	348	3321
95	351	3307
96	352	3280
97	355	3276
98	358	3264
99	361	3255
100	365	3251
101	367	3231
102	371	3232
103	374	3228
104	378	3222
105	382	3222
106	385	3218
107	389	3213
108	392	3211
109	398	3221
110	402	3221
111	405	3212
112	407	3201
113	413	3209
114	414	3192
115	417	3181
116	420	3171
117	423	3164
118	426	3154
119	428	3143
120	431	3133
121	433	3123
122	436	3113
123	439	3106
124	442	3097
125	445	3087
126	447	3079
127	450	3069
128	453	3062
129	456	3054
130	459	3048
131	463	3045
132	466	3037
133	469	3032
134	473	3031
135	476	3024
136	479	3022
137	482	3016
138	486	3010
139	489	3006
140	492	3000
141	495	2994
142	498	2986
143	501	2979
144	502	2962
145	503	2943
146	505	2935
147	508	2928
148	511	2919
149	513	2911
150	516	2904
151	519	2896
152	520	2882
153	524	2879
154	527	2875
155	530	2871
156	534	2868
157	537	2865
158	540	2860
159	543	2855
160	547	2852
161	556	2877
162	559	2874
163	565	2882
164	568	2876
165	569	2862
166	573	2861
167	578	2864
168	582	2861
169	587	2869
170	591	2868
171	594	2864
172	597	2858
173	601	2853
174	604	2849
175	607	2845
176	610	2839
177	613	2835
178	616	2829
179	620	2826
180	623	2823
181	626	2817
182	630	2815
183	637	2828
184	642	2829
185	645	2823
186	652	2834
187	655	2831
188	659	2829
189	662	2825
190	667	2825
191	670	2821
192	673	2816
193	677	2815
194	683	2819
195	685	2813
196	688	2808
197	692	2805
198	697	2806
199	700	2803
200	705	2805
201	709	2802
202	714	2806
203	716	2795
204	719	2792
205	721	2779
206	724	2774
207	727	2770
208	731	2767
209	734	2762
210	738	2760
211	741	2757
212	748	2764
213	753	2766
214	758	2767
215	761	2764
216	764	2760
217	768	2755
218	771	2751
219	775	2749
220	778	2744
221	781	2739
222	785	2736
223	788	2732
224	792	2728
225	796	2726
226	802	2733
227	807	2734
228	816	2750
229	820	2745
230	823	2742
231	828	2743
232	832	2738
233	836	2737
234	840	2737
235	846	2740
236	858	2763
237	861	2759
238	865	2754
239	868	2750
240	872	2749
241	876	2744
242	880	2741
243	881	2730
244	886	2731
245	889	2727
246	895	2730
247	900	2732
248	904	2728
249	909	2728
250	914	2728
251	919	2729
252	925	2731
253	928	2728
254	933	2727
255	937	2723
256	957	2768
257	963	2770
258	967	2766
259	971	2765
260	975	2761
261	978	2756
262	983	2757
263	987	2753
264	1001	2776
265	1006	2778
266	1010	2773
267	1017	2779
268	1021	2776
269	1025	2771
270	1030	2772
271	1039	2781
272	1052	2802
273	1060	2810
274	1064	2805
275	1067	2800
276	1071	2797
277	1075	2792
278	1078	2787
279	1083	2785
280	1094	2799
281	1099	2798
282	1110	2812
283	1187	2995
284	1203	3018
285	1212	3027
286	1218	3028
287	1222	3022
288	1228	3021
289	1233	3019
290	1236	3012
291	1242	3013
292	1267	3058
293	1276	3065
294	1282	3064
295	1287	3063
296	1291	3057
297	1295	3051
298	1300	3049
299	1305	3045
300	1319	3063
301	1327	3068
302	1341	3086
303	1348	3086
304	1352	3082
305	1356	3076
306	1361	3073
307	1365	3067
308	1368	3061
309	1376	3062
310	1379	3056
311	1383	3050
312	1388	3048
313	1392	3042
314	1396	3036
315	1400	3031
316	1405	3028
317	1409	3022
318	1412	3015
319	1415	3008
320	1419	3002
321	1423	2998
322	1427	2992
323	1431	2986
324	1435	2981
325	1442	2982
326	1445	2975
327	1449	2969
328	1453	2964
329	1457	2958
330	1460	2952
331	1464	2947
332	1468	2940
333	1474	2940
334	1481	2940
335	1486	2937
336	1492	2935
337	1495	2929
338	1499	2923
339	1502	2917
340	1509	2916
341	1514	2914
342	1518	2908
343	1522	2902
344	1528	2902
345	1532	2896
346	1537	2893
347	1540	2886
348	1555	2902
349	1561	2900
350	1570	2903
351	1573	2896
352	1576	2890
353	1596	2913
354	1606	2917
355	1610	2912
356	1613	2906
357	1617	2900
358	1621	2894
359	1625	2889
360	1628	2882
361	1632	2876
362	1641	2880
363	1644	2873
364	1648	2867
365	1652	2862
366	1656	2856
367	1659	2850
368	1663	2844
369	1668	2840
370	1672	2836
371	1676	2830
372	1680	2825
373	1684	2818
374	1687	2812
375	1691	2807
376	1699	2807
377	1712	2818
378	1716	2812
379	1719	2806
380	1723	2800
381	1726	2793
382	1730	2787
383	1734	2782
384	1738	2777
385	1743	2773
386	1746	2766
387	1750	2760
388	1753	2754
389	1757	2749
390	1761	2743
391	1764	2737
392	1768	2731
393	1772	2726
394	1775	2720
395	1781	2716
396	1786	2713
397	1790	2707
398	1797	2708
399	1803	2705
400	1811	2705
401	1816	2701
402	1819	2695
403	1825	2692
404	1828	2686
405	1832	2680
406	1836	2675
407	1839	2669
408	1845	2666
409	1849	2661
410	1852	2655
411	1856	2649
412	1860	2643
413	1865	2640
414	1868	2634
415	1872	2628
416	1891	2645
417	1900	2645
418	1903	2639
419	1907	2634
420	1911	2628
421	1914	2622
422	1917	2615
423	1922	2611
424	1925	2605
425	1957	2637
426	1961	2632
427	1964	2625
428	1968	2620
429	1972	2614
430	1976	2608
431	1979	2602
432	1983	2597
433	2006	2617
434	2010	2610
435	2013	2605
436	2017	2599
437	2020	2592
438	2024	2586
439	2027	2580
440	2030	2574
441	2041	2576
442	2046	2572
443	2049	2566
444	2053	2560
445	2057	2555
446	2060	2549
447	2063	2543
448	2067	2537
449	2070	2531
450	2076	2528
451	2080	2522
452	2084	2516
453	2087	2510
454	2091	2504
455	2094	2498
456	2097	2492
457	2101	2486
458	2104	2481
459	2107	2474
460	2111	2468
461	2114	2462
462	2117	2456
463	2120	2449
464	2123	2443
465	2127	2438
466	2131	2432
467	2134	2426
468	2137	2420
469	2141	2414
470	2144	2408
471	2148	2403
472	2152	2398
473	2157	2393
474	2161	2389
475	2165	2384
476	2170	2379
477	2173	2374
478	2177	2368
479	2184	2366
480	2187	2360
481	2191	2354
482	2195	2349
483	2200	2346
484	2204	2340
485	2207	2334
486	2210	2328
487	2217	2326
488	2222	2322
489	2227	2318
490	2233	2314
491	2245	2318
492	2248	2312
493	2254	2309
494	2257	2303
495	2261	2297
496	2264	2292
497	2270	2289
498	2276	2285
499	2280	2280
500	2283	2274
501	2286	2268
502	2290	2263
503	2297	2260
504	2300	2255
505	2308	2253
506	2311	2248
507	2316	2243
508	2323	2241
509	2327	2236
510	2330	2230
511	2333	2224
512	2339	2220
513	2342	2214
514	2345	2208
515	2348	2202
516	2352	2197
517	2357	2193
518	2361	2188
519	2367	2185
520	2371	2180
521	2374	2174
522	2377	2168
523	2380	2162
524	2384	2157
525	2387	2151
526	2390	2145
527	2394	2140
528	2397	2134
529	2401	2129
530	2404	2124
531	2408	2118
532	2411	2113
533	2415	2107
534	2418	2102
535	2422	2097
536	2427	2093
537	2439	2094
538	2443	2089
539	2447	2084
540	2454	2082
541	2457	2076
542	2461	2071
543	2466	2067
544	2471	2063
545	2475	2058
546	2480	2054
547	2484	2049
548	2489	2044
549	2493	2040
550	2497	2035
551	2501	2030
552	2513	2032
553	2517	2027
554	2524	2024
555	2528	2019
556	2533	2014
557	2537	2009
558	2540	2004
559	2545	1999
560	2549	1994
561	2553	1989
562	2557	1984
563	2562	1980
564	2566	1976
565	2570	1971
566	2575	1966
567	2579	1962
568	2583	1956
569	2586	1951
570	2591	1946
571	2595	1941
572	2598	1936
573	2605	1933
574	2609	1928
575	2613	1923
576	2617	1919
577	2622	1914
578	2625	1909
579	2629	1904
580	2633	1898
581	2636	1893
582	2639	1887
583	2644	1883
584	2651	1880
585	2654	1875
586	2657	1870
587	2661	1864
588	2664	1859
589	2668	1854
590	2671	1849
591	2675	1843
592	2680	1839
593	2684	1834
594	2687	1829
595	2691	1824
596	2695	1819
597	2698	1814
598	2701	1808
599	2705	1803
600	2712	1800
601	2719	1798
602	2723	1792
603	2726	1787
604	2730	1782
605	2733	1777
606	2736	1772
607	2740	1766
608	2743	1761
